,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
759,MF Hotel,"7,5",Buono ,883 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 125,"2,3 km dal centro",Roma,3.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
760,Warmthotel,"8,5",Ottimo ,2.630 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,"9,3 km dal centro","Fonte Ostiense, Roma",4.0,,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli 1 letto matrimonialeColazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito
761,City Guest House,"8,4",Ottimo ,751 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 110,"6,8 km dal centro","Appio Latino, Roma",,4.0,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
762,Rome Vatican Inn,"7,6",Buono ,728 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 198,"1,8 km dal centro","Vaticano Prati, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
763,Lea Luxury Rooms,"8,9",Favoloso ,496 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 291,"0,6 km dal centro","Pantheon, Roma",,4.0,Camera Matrimoniale Elegant,Configurazione camera non disponibile,Camera Matrimoniale Elegant1 letto matrimoniale largeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 4 camere a questo prezzo sul nostro sito
764,R2R Vatican Retreat,"9,0",Eccellente ,41 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 149,"2,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
765,Hotel Dei Congressi,"8,7",Favoloso ,3.078 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 197,"7,3 km dal centro","Eur, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito
766,Guest House Relais Indipendenza,"8,7",Favoloso ,1.467 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 150,"1,9 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli con Balcone ,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Balcone Letti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
767,Palazzo Lupardi Relais,"8,9",Favoloso ,846 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 169,1 km dal centro,"Piazza Navona, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
768,Cenci Bed & Breakfast Fontana di Trevi,"7,9",Buono ,993 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 240,"0,6 km dal centro","Trevi, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
769,Trevi Palace Luxury Inn,"8,1",Ottimo ,613 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 416,"0,6 km dal centro","Trevi, Roma",,,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
770,Hotel Saint John,"7,5",Buono ,1.642 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 228,2 km dal centro,"Stazione Termini, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale large
771,Roma Imperial Suites,"8,9",Favoloso ,185 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 131,"3,7 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Deluxe con Balcone,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Balcone1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
772,Relais Vatican Secret,"7,2",Buono ,520 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 189,"1,8 km dal centro","Vaticano Prati, Roma",,3.0,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli 1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
773,Hotel La Lumiere Di Piazza Di Spagna,"8,5",Ottimo ,359 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 265,1 km dal centro,"Spagna, Roma",3.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli 1 letto matrimonialeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
774,Aparthotel Colombo Roma,"8,8",Favoloso ,2.030 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"3,5 km dal centro","Ostiense, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale SuperiorVari tipi di lettoRestano solo 4 camere a questo prezzo sul nostro sito
775,The Independent Hotel,"8,5",Ottimo ,637 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 275,"1,7 km dal centro","Stazione Termini, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
776,Hotel Cassia,"7,6",Buono ,480 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 228,"15,3 km dal centro",Roma,3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
777,Spanish Step Dream Suites & Cozy Casa,"9,5",Eccezionale ,52 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 325,"1,3 km dal centro","Spagna, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,"Camera Deluxe Matrimoniale/Doppia con Letti Singoli2 letti (1 matrimoniale grande, 1 divano letto)Restano solo 2 camere a questo prezzo sul nostro sito"
778,Guest House Biondi,"8,5",Ottimo ,962 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 121,"1,6 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
779,Hotel Kent,"7,9",Buono ,1.237 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 150,"2,5 km dal centro",Roma,3.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
780,Casa Di Santa Francesca Romana a Ponte Rotto,"8,0",Ottimo ,1.123 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 226,1 km dal centro,"Trastevere, Roma",,3.0,Camera Tripla Superior,Configurazione camera non disponibile,Camera Tripla SuperiorVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
781,Domus Castrense,"8,7",Favoloso ,1.272 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 158,"2,3 km dal centro","Nomentano, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
782,Vintage Cipro Apartment,"8,9",Favoloso ,57 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 325,"3,3 km dal centro","Trionfale, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 65 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 65 m²4 letti (1 divano letto, 3 matrimoniali)"
783,Hotel Giardino d'Europa,"8,0",Ottimo ,1.469 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 123,"11,2 km dal centro","Appio Latino, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
784,Casa Violante Luxury Apartment,"9,8",Eccezionale ,69 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 280,"1,3 km dal centro","Spagna, Roma",,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 39 m²,Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 39 m²1 letto matrimoniale large
785,Best Western Blu Hotel Roma,"7,8",Buono ,1.429 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 193,"4,4 km dal centro","Tiburtino, Roma",4.0,,Camera King Standard,Configurazione camera non disponibile,Camera King Standard1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
786,Baglioni Hotel Regina - The Leading Hotels of the World,"9,0",Eccellente ,1.031 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 761,"1,4 km dal centro","Via Veneto, Roma",5.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseColazione inclusa
787,Hotel Monte Cenci,"8,6",Favoloso ,374 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 311,"0,7 km dal centro","Pantheon, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Vari tipi di lettoColazione inclusa
788,I Mulini A Vento,"8,7",Favoloso ,676 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,"2,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 2 camere a questo prezzo sul nostro sito
789,Vatican Giulia,"8,7",Favoloso ,515 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 143,"2,4 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
790,San Anselmo,"9,0",Eccellente ,2.224 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 213,"1,6 km dal centro","Aventino, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
791,Corso Vittorio Apartments,"7,9",Buono ,94 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 353,"1,2 km dal centro","Piazza Navona, Roma",,3.0,Appartamento Deluxe ,Intero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 80 m²,Appartamento Deluxe Intero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 80 m²3 letti matrimoniali • Culla gratuita sempre disponibileNe resta solo 1 a questo prezzo sul nostro sito
792,The Cross Hotel,"8,4",Ottimo ,3.830 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 283,"2,5 km dal centro","Stazione Termini, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
793,UNA HOTELS Trastevere Roma,"8,7",Favoloso ,2.353 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 289,"1,5 km dal centro","Trastevere, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoli
794,BorgoNove,"8,1",Ottimo ,428 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 297,"2,1 km dal centro","Vaticano Prati, Roma",,3.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
795,DownTown Boutique House - CA Domus Collection,"9,1",Eccellente ,702 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 171,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
796,Palazzo Navona Hotel,"9,0",Eccellente ,1.189 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 547,"0,7 km dal centro","Pantheon, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in struttura
797,"The Spring House Hotel Rome Vatican, Tapestry Collection Hilton","8,7",Favoloso ,2.115 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 262,"2,9 km dal centro","Trionfale, Roma",4.0,,Camera Queen ,Configurazione camera non disponibile,Camera Queen 1 letto matrimoniale
798,Albergo Ottocento,"8,4",Ottimo ,1.931 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 248,1 km dal centro,"Via Veneto, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeColazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito
799,KOSMO ROME Luxury,"9,1",Eccellente ,444 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 179,"0,7 km dal centro","Rione Monti, Roma",,4.0,Camera Tripla Standard,Configurazione camera non disponibile,"Camera Tripla Standard2 letti (1 matrimoniale grande, 1 divano letto)Resta solo 1 camera a questo prezzo sul nostro sito"
800,Grand Hotel Palace Rome,"8,4",Ottimo ,673 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 332,"1,4 km dal centro","Via Veneto, Roma",5.0,,Camera King Deluxe ,Configurazione camera non disponibile,Camera King Deluxe 1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
801,Rome Aparts,"9,5",Eccezionale ,722 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 711,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Appartamento Deluxe con Terrazza - Viale Giulio Cesare 113 A,Intero appartamento • 4 camere da letto • 1 zona giorno • 4 bagni • 1 cucina • 210 m²,"Appartamento Deluxe con Terrazza - Viale Giulio Cesare 113 AIntero appartamento • 4 camere da letto • 1 zona giorno • 4 bagni • 1 cucina • 210 m²6 letti (1 singolo, 1 divano letto, 4 matrimoniali)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
802,Molly Home,"9,0",Eccellente ,479 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 183,"1,7 km dal centro","Trastevere, Roma",,4.0,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 singolo, 1 matrimoniale)Restano solo 2 camere a questo prezzo sul nostro sito"
803,Borsieri Apartments - by 101Flats,"8,4",Ottimo ,334 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"2,6 km dal centro","Vaticano Prati, Roma",,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 45 m²,"Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 45 m²2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
804,Hotel Napoleon,"8,0",Ottimo ,456 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 256,"1,8 km dal centro","Stazione Termini, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
805,Eudora Guesthouse Roma,"9,2",Eccellente ,11 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 226,"2,7 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
806,Wonderful Time Rome,"8,3",Ottimo ,1.056 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 123,"2,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
807,Cardilli Luxury Rooms,"9,6",Eccezionale ,815 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 147,"0,7 km dal centro","Rione Monti, Roma",,4.0,Camera Deluxe Matrimoniale con Vasca Idromassaggio ,Configurazione camera non disponibile,Camera Deluxe Matrimoniale con Vasca Idromassaggio 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
808,Domus Amica,"8,5",Ottimo ,435 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 118,"3,2 km dal centro","Trionfale, Roma",,,Camera Quadrupla,Configurazione camera non disponibile,"Camera Quadrupla3 letti (2 letti a castello, 1 matrimoniale)Cancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito"
809,Rione Monti Suites,"8,7",Favoloso ,756 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"0,9 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
810,Suite 36,"8,2",Ottimo ,591 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 136,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
811,Boutique Hotel Campo de' Fiori,"8,8",Favoloso ,805 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 499,"0,8 km dal centro","Piazza Navona, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 5 camere a questo prezzo sul nostro sito
812,Daphne Suites,"7,7",Buono ,961 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 163,"0,9 km dal centro","Trevi, Roma",,3.0,Camera Matrimoniale Comfort ,Configurazione camera non disponibile,Camera Matrimoniale Comfort 1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
